Año,Mes,Inflacion_Realizada,Fecha,Expectativa_12m,Inf_AnoAct,Inf_AnoSig,TC_AnoAct,TC_12m,PIB_AnoAct,TPM_MesAct,Expectativa_12m_lag12,Error_Pronostico,Error_Cuadratico,Error_Absoluto,Revision,Error_lag12,Inf_lag13,TPM_lag13,TC_lag13,PIB_lag13,D_Pandemia
2009,6,1.41,2009-06-01,5.42,5.0,6.0,6.10341904492795,5.99991628997154,2.5,,,,,,,,,,,,0
2009,7,1.2,2009-07-01,6.5,6.0,7.0,5.96213619666572,7.09396480024473,1.5,,,,,,1.08,,,,,,0
2009,8,1.92,2009-08-01,6.11,6.0,6.1,4.54930771404352,6.04171859445556,2.0,,,,,,-0.3899999999999997,,,,,,0
2009,9,4.04,2009-09-01,6.0,6.0,6.9,5.04379768296128,5.99999999999998,2.25,,,,,,-0.1100000000000003,,,,,,0
2009,10,5.2,2009-10-01,5.735,6.0,6.98,4.54930771404352,5.8132697358988,2.1,4.0,,,,,-0.2649999999999997,,,,,,0
2009,11,5.71,2009-11-01,6.0,5.435,6.575,3.13647923142131,4.97237569060773,1.94,4.0,,,,,0.2649999999999997,,,,,,0
2009,12,5.76,2009-12-01,6.505,6.0,7.0,2.4300649901102,4.65753424657536,2.5,4.0,,,,,0.5049999999999999,,,,,,0
2010,1,6.16,2010-01-01,6.98,7.0,6.18,4.78433001107421,4.82758620689656,4.0,4.0,,,,,0.4750000000000005,,,,,,0
2010,2,6.2,2010-02-01,6.7,6.65,6.75,4.77574750830566,4.5780474351903,4.135,4.0,,,,,-0.2800000000000002,,,,,,0
2010,3,6.31,2010-03-01,6.4,6.5,6.0,3.82059800664452,4.05165076615228,4.27,4.0,,,,,-0.2999999999999998,,,,,,0
2010,4,6.34,2010-04-01,6.7,6.825,6.54,3.82059800664452,4.49999999999999,4.53,4.0,,,,,0.2999999999999998,,,,,,0
2010,5,5.86,2010-05-01,7.87,7.0,6.75,5.03875968992249,5.28455284552847,5.1,4.0,,,,,1.17,,,,,,0
2010,6,6.11,2010-06-01,7.0,7.0,6.5,5.20487264673313,5.22972972972973,5.765,4.0,5.42,0.6900000000000004,0.4761000000000005,0.6900000000000004,-0.8700000000000001,,,,,,0
2010,7,6.45,2010-07-01,6.0,6.4,6.0,4.37430786267996,4.60376628987214,5.53,4.0,6.5,-0.04999999999999982,0.002499999999999982,0.04999999999999982,-1.0,,1.41,,6.10341904492795,2.5,0
