Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Banco Central de República Dominicana,,,,,,,,,,,,,,,,
Departamento de Programación Monetaria y Estudios Económicos,,,,,,,,,,,,,,,,
División de Encuestas Macroeconómicas,,,,,,,,,,,,,,,,
Encuesta de Expectativas Macroeconómicas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mediana de las expectativas,,,,,,,,,,,,,,,,
Año,Mes,Inflación,,,,Variación porcentual interanual implícita del tipo de cambio,,,,Crecimiento interanual del PIB real,,,Tasa de política monetaria (TPM),,,
,,Año actual,En 12 meses,Año siguiente,En 24 meses,Año actual,En 12 meses,Año siguiente,En 24 meses,Trimestre actual,Año actual,Año siguiente,Mes actual,Trimestre actual,Año actual,En 12 meses
2009,6,5,5.42,6,,6.10341904492795,5.99991628997154,5.13477020602219,,1.2,2.5,3.65,,,,
2009,7,6,6.5,7,,5.96213619666572,7.09396480024473,5.26315789473684,,1.55,1.5,3.5,,,,
2009,8,6,6.11,6.1,,4.54930771404352,6.04171859445556,5.71428571428572,,1.05,2,3.6,,,,
2009,9,6,6,6.9,,5.04379768296128,5.99999999999998,5.02139107611548,,1.625,2.25,3.875,,,,
2009,10,6,5.735,6.98,,4.54930771404352,5.8132697358988,5.40540540540539,,1.95,2.1,4.5,4,4,5.065,
2009,11,5.435,6,6.575,,3.13647923142131,4.97237569060773,4.99303716037236,,2,1.94,3.5,4,4,5.6,
2009,12,6,6.505,7,,2.4300649901102,4.65753424657536,4.65753424657536,,1.5,2.5,3.5,4,4,5.13,
2010,1,7,6.98,6.18,,4.78433001107421,4.82758620689656,4.10256410256411,,4,4,4.7,4,4,6,
2010,2,6.65,6.7,6.75,,4.77574750830566,4.5780474351903,4.5822102425876,,3.79,4.135,5,4,4,5.5,
2010,3,6.5,6.4,6,,3.82059800664452,4.05165076615228,4,,3.78,4.27,5,4,4,5,
2010,4,6.825,6.7,6.54,,3.82059800664452,4.49999999999999,4.15285366058671,,5,4.53,5,4,4,5,
