Año,Mes,Fecha,IPC,pi_t,fuente_pi
2010,1,2010-01-01,95.3637680747706,,IPC oficial empalmado (base Dic 2010 = 100)
2010,2,2010-02-01,95.4972870088918,,IPC oficial empalmado (base Dic 2010 = 100)
2010,3,2010-03-01,96.3182864123178,,IPC oficial empalmado (base Dic 2010 = 100)
2010,4,2010-04-01,96.6620266469703,,IPC oficial empalmado (base Dic 2010 = 100)
2010,5,2010-05-01,96.9915627396949,,IPC oficial empalmado (base Dic 2010 = 100)
2010,6,2010-06-01,96.8267946933326,,IPC oficial empalmado (base Dic 2010 = 100)
2010,7,2010-07-01,97.1591716144428,,IPC oficial empalmado (base Dic 2010 = 100)
2010,8,2010-08-01,97.3722337433596,,IPC oficial empalmado (base Dic 2010 = 100)
2010,9,2010-09-01,98.1222124371467,,IPC oficial empalmado (base Dic 2010 = 100)
2010,10,2010-10-01,98.7841254509815,,IPC oficial empalmado (base Dic 2010 = 100)
2010,11,2010-11-01,99.0909349166217,,IPC oficial empalmado (base Dic 2010 = 100)
2010,12,2010-12-01,100.0,,IPC oficial empalmado (base Dic 2010 = 100)
2011,1,2011-01-01,101.2437,6.165792359021727,IPC oficial empalmado (base Dic 2010 = 100)
2011,2,2011-02-01,102.461,7.292053218705363,IPC oficial empalmado (base Dic 2010 = 100)
2011,3,2011-03-01,103.645,7.606773189795035,IPC oficial empalmado (base Dic 2010 = 100)
2011,4,2011-04-01,104.55,8.160364133309761,IPC oficial empalmado (base Dic 2010 = 100)
2011,5,2011-05-01,104.78,8.030015230507882,IPC oficial empalmado (base Dic 2010 = 100)
2011,6,2011-06-01,105.85,9.318913566482777,IPC oficial empalmado (base Dic 2010 = 100)
2011,7,2011-07-01,106.75,9.871253764509792,IPC oficial empalmado (base Dic 2010 = 100)
2011,8,2011-08-01,107.28,10.175145291165787,IPC oficial empalmado (base Dic 2010 = 100)
2011,9,2011-09-01,107.51,9.5674438332368,IPC oficial empalmado (base Dic 2010 = 100)
2011,10,2011-10-01,107.54,8.863645357029881,IPC oficial empalmado (base Dic 2010 = 100)
2011,11,2011-11-01,107.64,8.6274946245807,IPC oficial empalmado (base Dic 2010 = 100)
2011,12,2011-12-01,107.76,7.760000000000011,IPC oficial empalmado (base Dic 2010 = 100)
2012,1,2012-01-01,,7.31,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,2,2012-02-01,,6.73,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,3,2012-03-01,,5.39,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,4,2012-04-01,,4.46,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,5,2012-05-01,,3.61,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,6,2012-06-01,,3.67,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,7,2012-07-01,,4.2,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,8,2012-08-01,,3.48,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,9,2012-09-01,,3.54,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,10,2012-10-01,,3.78,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,11,2012-11-01,,3.91,Informe Mensual IPC del BCRD (gap 2012 en archivo)
2012,12,2012-12-01,,3.91,Informe Mensual IPC del BCRD (gap 2012 en archivo)
